順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,5,9,メリディアンスター,+15.0,+4.0前走3F最速 / +4.0同コース実績 / +3.0調教A評価 / +1.0叩き2戦目 / +2.0前走好走 / +1.0前々走好走,
2,6,12,スナッピードレッサ,+8.0,+4.0同コース実績 / +3.0調教A評価 / +1.0叩き2戦目 / +2.0前走好走 / +1.0前々走好走,-2.0昇級初戦 / -1.0トップハンデ
3,7,13,シャパリュ,+8.0,+4.0同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +1.0前々走好走,
4,3,5,モーニングマジック,+7.5,+4.0同コース実績 / +3.0調教A評価 / +2.0前走好走 / +0.5前々走好走,-2.0昇級初戦
5,5,10,クインズデネブ,+6.0,+4.0同コース実績 / +2.0調教A評価,
6,2,4,ゴールドハンマー,+4.0,+4.0同コース実績 / +3.0調教A評価 / +1.0叩き2戦目 / +1.0前々走好走,-5.0距離延長 / -2.0枠番補正
7,8,15,メイショウツヨキ,+4.0,+3.0調教A評価 / +1.0叩き2戦目 / +1.0前々走好走,-1.0回り不適
8,4,7,エイプリルインパリ,+3.0,+3.0調教A評価 / +2.0前走好走,-2.0昇級初戦
9,3,6,セミマル,+2.0,+2.0調教A評価 / +1.0叩き2戦目,-1.0回り不適
10,2,3,グレイテストソング,+1.0,+1.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮,-2.0枠番補正
11,4,8,ピエマンソン,+1.0,+1.0調教A評価 / +1.0距離短縮,-1.0回り不適
12,6,11,オペラプラージュ,+1.0,+1.0調教A評価 / +1.0叩き2戦目,-1.0回り不適
13,1,1,ドンレパルス,-1.0,+3.0調教A評価,-2.0枠番補正 / -1.0トップハンデ / -1.0回り不適
14,1,除外,オレデイイノカ除外,-1.0,+1.0叩き2戦目 / +1.0距離短縮,-2.0枠番補正 / -1.0回り不適
15,8,16,シュヴァルボヌール,-1.0,+2.0調教A評価 / +1.0叩き2戦目 / +1.0前々走好走,-5.0距離延長 / -1.0回り不適
16,7,14,ワンダラー,-2.0,+3.0調教A評価,-5.0距離延長 / -1.0トップハンデ / -1.0回り不適
