順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳
1,8,16,バンオンタイム,+4.0,2.5,1人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0前走好走,
2,2,3,コーディアリー,+3.0,27.9,8人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮,
3,6,12,ショウナンサイオウ,+3.0,5.2,3人気,+2.0調教A評価 / +1.0距離短縮,
4,8,17,ルモンテ,+3.0,13.0,5人気,+2.0前走3F最速 / +2.0調教A評価,-1.0回り不適
5,7,14,エナノムスメ,+2.0,35.4,9人気,+3.0調教A評価,-1.0回り不適
6,1,1,カレリアフレイバー,+1.5,19.0,6人気,+2.0調教A評価 / +1.0距離短縮,-0.5枠番補正 / -1.0回り不適
7,4,7,セルリア,+1.5,78.2,13人気,+1.0調教A評価 / +1.0距離短縮 / +0.5枠番補正,-1.0回り不適
8,5,10,ワイズファミリア,+1.5,4.9,2人気,+1.0調教A評価 / +0.5前々走好走,
9,5,9,ファイナルフォーム,+1.0,119.1,14人気,+1.0調教A評価 / +1.0叩き2戦目,-1.0回り不適
10,6,11,バトルモクオ,+1.0,255.1,15人気,+1.0調教A評価 / +1.0距離短縮,-1.0回り不適
11,7,13,コスモマウイ,+1.0,76.1,12人気,+1.0調教A評価,
12,2,4,デルマテイネ,+0.0,354.7,17人気,+1.0調教A評価,-1.0回り不適
13,3,6,メイヨシュア,+0.0,438.5,18人気,+1.0距離短縮,-1.0回り不適
14,7,15,クールフィデル,+0.0,8.4,4人気,+2.0調教A評価 / +1.0距離短縮 / +1.0前走好走,-3.0長期休養明け / -1.0回り不適
15,8,18,アグネスブリッツ,+0.0,58.0,11人気,+1.0調教A評価,-1.0回り不適
16,1,2,サイモンナイスラン,-0.5,272.0,16人気,+1.0距離短縮,-0.5枠番補正 / -1.0回り不適
17,4,8,ロードクラシコ,-2.0,49.0,10人気,+2.0調教A評価 / +1.0叩き2戦目 / +0.5枠番補正,-3.0長期休養明け / -2.0馬体重変動 / -1.0回り不適
18,3,5,ニシノトップダノン,-3.0,25.5,7人気,+1.0調教A評価,-3.0長期休養明け / -1.0回り不適
