順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,着順
1,3,5,ペガサスジルシ,+4.5,2.9,1人気,+2.0調教A評価 / +1.0近走上昇傾向 / +1.0距離短縮 / +1.0前走好走,-0.5枠番補正
2,6,11,ビップヴォルフ,+3.5,7.8,5人気,+2.0調教A評価 / +1.0距離短縮 / +0.5前々走好走,,2着
3,8,15,フレアオブセンス,+2.5,5.1,3人気,+1.0調教A評価 / +1.0前走好走 / +0.5前々走好走,,3着
4,1,2,ハナコトバ,+2.0,9.3,6人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0枠番補正,-2.0急坂好走なし
5,8,16,シェーネエルデ,+1.0,32.9,10人気,+2.0前走3F最速 / +1.0調教A評価 / +1.0叩き2戦目,-2.0急坂好走なし / -1.0回り不適
6,1,1,プリュイドール,+0.0,13.0,7人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0枠番補正,-2.0急坂好走なし / -1.0回り不適
7,6,12,チュオンソン,+0.0,46.4,12人気,+2.0調教A評価 / +1.0距離短縮,-2.0急坂好走なし / -1.0回り不適
8,7,14,テイクザスローン,+0.0,26.3,9人気,+2.0調教A評価 / +1.0近走上昇傾向,-2.0急坂好走なし / -1.0回り不適
9,5,9,シャイニーデイ,-1.0,142.5,16人気,+1.0調教A評価 / +1.0叩き2戦目,-2.0急坂好走なし / -1.0回り不適
10,5,10,レイワノキセキ,-1.0,25.0,8人気,+1.0調教A評価 / +1.0距離短縮,-2.0急坂好走なし / -1.0回り不適
11,2,4,エースフライト,-1.5,4.9,2人気,+1.0調教A評価 / +1.0叩き2戦目,-0.5枠番補正 / -2.0急坂好走なし / -1.0回り不適,1着
12,4,7,ラッキーシグネチャ,-1.5,85.3,13人気,+1.0調教A評価 / +0.5枠番補正,-2.0急坂好走なし / -1.0回り不適
13,4,8,アスクウルトラモア,-1.5,102.7,14人気,+1.0叩き2戦目 / +0.5枠番補正,-2.0急坂好走なし / -1.0回り不適
14,7,13,ショウナンアンバー,-2.0,142.1,15人気,+1.0距離短縮,-2.0急坂好走なし / -1.0回り不適
15,2,3,クリムゾンバースト,-2.5,39.0,11人気,+1.0叩き2戦目,-0.5枠番補正 / -2.0急坂好走なし / -1.0回り不適
16,3,6,アリュウ,-3.5,6.4,4人気,,-0.5枠番補正 / -2.0急坂好走なし / -1.0回り不適
