順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳,調教コメント
1,5,7,クレパスキュラー,+13.9,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +0.5枠番補正 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-0.5血統距離適性,気配上々
2,3,3,ダガーリング,+13.0,+2.0調教B評価 / +3.8近走上昇傾向 / +1.0距離短縮 / +0.2前々走好走 / +1.0血統距離適性 / +1.0内枠先行 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,,好調子
3,5,8,チムグクル,+12.1,+2.0前走3F最速 / +2.0同コース近距離実績 / +2.0調教B評価 / +0.6近走上昇傾向 / +0.2前走好走 / +0.5枠番補正 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス,,状態良好
4,1,1,メランジェ,+10.1,+2.0調教B評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス,,更に上昇
5,7,12,ユキノエミリオ,+9.5,+2.0同コース近距離実績 / +2.0調教B評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.2前走好走 / +1.0血統距離適性,-0.5枠番補正,気配上昇
6,8,13,コンテネレッツア,+9.0,+3.0同コース実績 / +2.0調教B評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +1.5複勝安定ボーナス,-0.5血統距離適性,キビキビ
7,4,5,ギフテッド,+8.0,+2.0同コース近距離実績 / +2.0調教B評価 / +0.6近走上昇傾向 / +1.0距離短縮 / +0.4前々走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0長期休養明け,気配上々
8,8,14,ラージギャラリー,+8.0,+2.5同コース実績 / +2.0調教B評価 / +1.0距離短縮 / +2.5勝利数ボーナス,,乗込十分
9,6,9,アスミル,+7.0,+2.0同コース近距離実績 / +2.0調教B評価 / +0.5枠番補正 / +2.5勝利数ボーナス,,気配上々
10,4,6,サクセスカラー,+5.5,+3.0同コース実績 / +2.0調教B評価 / +0.6近走上昇傾向 / +0.4前々走好走,-0.5血統距離適性,状態良好
11,3,4,カラヴァジェスティ,+4.2,+2.0調教B評価 / +1.0叩き2戦目 / +1.2近走上昇傾向,,出来は良
12,7,11,ビービーエフォート,+3.9,+2.0調教B評価 / +2.5近走上昇傾向 / +0.4前々走好走,-0.5前走ローカル / -0.5枠番補正,キビキビ
13,2,2,レイククレセント,+3.2,+2.0同コース近距離実績 / +2.0調教B評価 / +0.2前走好走,-0.5血統距離適性 / -0.5枠番補正,出来は良
14,6,10,キョウエイボニータ,+3.0,+1.0調教C評価 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +0.5枠番補正,,前走並み

■レース情報,芝1400m,202605030510

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。

■三連複BOX,5頭BOX (10点) ← ROI124%,"対象馬:7,3,8,1,12",10点
,1－3－7
,1－3－8
,1－3－12
,1－7－8
,1－7－12
,1－8－12
,3－7－8
,3－7－12
,3－8－12
,7－8－12

■三連複10点,軸:7番クレパスキュラー,"相手(2〜6位):3,8,1,12,13",10点
,1－3－7
,1－7－8
,1－7－12
,1－7－13
,3－7－8
,3－7－12
,3－7－13
,7－8－12
,7－8－13
,7－12－13

■三連複7点,軸:7番クレパスキュラー×3番ダガーリング,"相手(3〜9位):8,1,12,13,5,14,9",7点
,1－3－7
,3－5－7
,3－7－8
,3－7－9
,3－7－12
,3－7－13
,3－7－14
