予想順位,枠,馬番,馬名,合計スコア,スコア差(1位比),人気,オッズ,脚質,パターン馬,実際の着順,加点内訳,減点内訳
1,3,3,テラメリタ,+14.6,0.0,3人気,7.9,差し,,9,+3.0same_course / +2.5rising_trend / +0.4prev_run_bonus / +0.4prev2_run_bonus / +2.2place_consistency / +2.5win_count / +3.1steep_power / +0.5pace_fit,
2,1,1,サンタンカ,+12.1,2.5,9人気,23.0,差し,,11,+2.5rising_trend / +0.4prev_run_bonus / +0.4prev2_run_bonus / +1.0bloodline_distance / +1.5place_consistency / +5.0win_count / +0.3steep_power / +0.5pace_fit,-0.5post_surface
3,2,2,マイエレメント,+11.9,2.7,10人気,27.1,差し,,10,+3.0same_course / +1.0distance_drop / +1.5place_consistency / +5.0win_count / +0.9steep_power / +0.5pace_fit,
4,6,10,アウフヘーベン,+8.1,6.5,1人気,2.5,先行,,2,+2.0same_course / +0.4prev_run_bonus / +0.2prev2_run_bonus / +2.2place_consistency / +1.2steep_power / +2.0pace_fit,
5,8,14,ゼンダンハヤブサ,+7.2,7.4,11人気,36.7,差し,,5,+3.0same_course / +0.2prev_run_bonus / +2.5win_count / +0.9steep_power / +0.5pace_fit,
6,6,9,アイルシャイン,+6.9,7.7,13人気,72.5,追い込み,,12,+1.2rising_trend / +0.4prev2_run_bonus / +5.0win_count / +0.3steep_power,-1.0pace_fit
7,5,8,ミナデオロ,+4.5,10.1,2人気,4.8,先行,,1,+2.0same_course / +1.0distance_drop / +2.0pace_fit,-0.5local_prev
8,7,11,コルレオニス,+4.2,10.3,12人気,42.0,差し,,3,+0.2prev2_run_bonus / +2.5win_count / +0.5pace_fit,
9,5,7,ケーブパール,+4.0,10.6,7人気,14.7,追い込み,,6,+2.5same_course / +2.5win_count,-1.0pace_fit
10,4,5,エポックヴィーナス,+2.9,11.8,8人気,20.9,追い込み,,8,+2.0fastest_3f / +0.2prev_run_bonus / +0.5bloodline_distance / +0.5post_surface / +0.6steep_power,-1.0pace_fit
11,7,12,セブンマジシャン,+2.4,12.2,4人気,10.6,差し,,14,+0.2prev_run_bonus / +0.6steep_power / +0.5pace_fit,
12,3,4,チャンネルトンネル,+2.2,12.3,5人気,11.3,差し,,7,+0.2prev2_run_bonus / +1.5steep_power / +0.5pace_fit,
13,8,13,ワイドアラジン,+2.0,12.6,14人気,92.3,差し,,13,+1.0distance_drop / +0.5pace_fit,-0.5local_prev
14,4,6,ウォーターガーベラ,+1.8,12.8,6人気,14.6,差し,,4,+2.0same_course / +0.2prev2_run_bonus / +0.5post_surface,-1.0pace_fit
